Time,Frequency,Amplitude
2024-01-04 19:08:09.052624,"321043000
","-86.9209136963
"
2024-01-04 19:08:09.069584,"322012000
","-84.7076034546
"
2024-01-04 19:08:09.085613,"325828000
","-87.0610809326
"
2024-01-04 19:08:09.100573,"321163000
","-86.7040939331
"
2024-01-04 19:08:09.115536,"324849000
","-86.2308883667
"
2024-01-04 19:08:09.131017,"326717000
","-86.7470550537
"
2024-01-04 19:08:09.145977,"324500000
","-85.0796508789
"
2024-01-04 19:08:09.161933,"320104000
","-86.2200927734
"
2024-01-04 19:08:09.177891,"323500000
","-86.4340133667
"
2024-01-04 19:08:09.195842,"325189000
","-87.2133331299
"
2024-01-04 19:08:09.208813,"326358000
","-86.9260482788
"
2024-01-04 19:08:09.224296,"326188000
","-85.5948638916
"
2024-01-04 19:08:09.240254,"319095000
","-85.4268493652
"
2024-01-04 19:08:09.255213,"319375000
","-85.6885375977
"
2024-01-04 19:08:09.271170,"327926000
","-85.7392578125
"
2024-01-04 19:08:09.288126,"319844000
","-85.9587020874
"
2024-01-04 19:08:09.303089,"323301000
","-85.5232620239
"
2024-01-04 19:08:09.319567,"326138000
","-84.885307312
"
2024-01-04 19:08:09.335521,"320264000
","-85.9595947266
"
2024-01-04 19:08:09.349483,"320414000
","-86.2307739258
"
2024-01-04 19:08:09.365441,"322072000
","-87.1720275879
"
2024-01-04 19:08:09.382396,"325688000
","-86.9866027832
"
2024-01-04 19:08:09.398353,"328575000
","-86.0646972656
"
2024-01-04 19:08:09.412324,"323780000
","-85.1394348145
"
2024-01-04 19:08:09.427804,"320673000
","-85.1405563354
"
2024-01-04 19:08:09.443760,"322761000
","-83.3464736938
"
2024-01-04 19:08:09.458720,"319554000
","-85.3374404907
"
2024-01-04 19:08:09.473681,"321473000
","-86.5271072388
"
2024-01-04 19:08:09.490636,"328535000
","-84.1707382202
"
2024-01-04 19:08:09.506602,"323760000
","-85.0594100952
"
2024-01-04 19:08:09.521083,"322152000
","-86.2857894897
"
2024-01-04 19:08:09.537039,"324999000
","-88.3198852539
"
2024-01-04 19:08:09.553037,"323011000
","-84.878036499
"
2024-01-04 19:08:09.568994,"328276000
","-86.4686203003
"
2024-01-04 19:08:09.584989,"320513000
","-85.8386611938
"
2024-01-04 19:08:09.600947,"326847000
","-85.9740066528
"
2024-01-04 19:08:09.616906,"320993000
","-85.96118927
"
2024-01-04 19:08:09.631387,"323131000
","-87.8272476196
"
2024-01-04 19:08:09.647344,"319415000
","-86.8119430542
"
2024-01-04 19:08:09.664304,"326747000
","-85.3573760986
"
2024-01-04 19:08:09.679271,"319594000
","-86.1863632202
"
2024-01-04 19:08:09.694227,"319964000
","-87.1279754639
"
2024-01-04 19:08:09.711191,"319085000
","-86.7733917236
"
2024-01-04 19:08:09.726678,"324619000
","-85.1999588013
"
2024-01-04 19:08:09.742631,"324080000
","-86.4304199219
"
2024-01-04 19:08:09.757591,"325149000
","-87.8316116333
"
2024-01-04 19:08:09.773548,"323580000
","-86.0314331055
"
2024-01-04 19:08:09.788508,"325439000
","-85.4956359863
"
2024-01-04 19:08:09.805472,"323351000
","-85.3172531128
"
2024-01-04 19:08:09.820955,"320503000
","-86.0419845581
"
2024-01-04 19:08:09.835910,"319175000
","-85.8613891602
"
2024-01-04 19:08:09.851868,"323031000
","-85.6747436523
"
2024-01-04 19:08:09.866840,"319315000
","-84.9087905884
"
2024-01-04 19:08:09.883794,"320284000
","-84.7200775146
"
2024-01-04 19:08:09.898754,"323051000
","-85.869720459
"
2024-01-04 19:08:09.913723,"322202000
","-84.8531799316
"
2024-01-04 19:08:09.930198,"327596000
","-86.8196029663
"
2024-01-04 19:08:09.945158,"319055000
","-86.130897522
"
2024-01-04 19:08:09.961115,"325508000
","-84.960899353
"
2024-01-04 19:08:09.977072,"322382000
","-85.92603302
"
2024-01-04 19:08:09.993061,"324589000
","-85.3184814453
"
2024-01-04 19:08:10.008028,"319864000
","-85.9097137451
"
2024-01-04 19:08:10.023519,"322861000
","-86.0949172974
"
2024-01-04 19:08:10.039476,"321203000
","-85.4920196533
"
2024-01-04 19:08:10.055432,"323890000
","-85.682723999
"
2024-01-04 19:08:10.070393,"323161000
","-83.7429351807
"
2024-01-04 19:08:10.086350,"327886000
","-86.1874237061
"
2024-01-04 19:08:10.103305,"320653000
","-85.8434524536
"
2024-01-04 19:08:10.118275,"319784000
","-84.7222213745
"
2024-01-04 19:08:10.134757,"327147000
","-87.3970031738
"
2024-01-04 19:08:10.149709,"326208000
","-85.3220214844
"
2024-01-04 19:08:10.164665,"327237000
","-86.0252227783
"
2024-01-04 19:08:10.180207,"320324000
","-85.2816772461
"
2024-01-04 19:08:10.197163,"319944000
","-85.3983306885
"
2024-01-04 19:08:10.212136,"322372000
","-86.1896743774
"
2024-01-04 19:08:10.228604,"319654000
","-84.8711700439
"
2024-01-04 19:08:10.244557,"321982000
","-85.9117202759
"
2024-01-04 19:08:10.259517,"327596000
","-85.930809021
"
2024-01-04 19:08:10.274477,"324539000
","-86.5308914185
"
2024-01-04 19:08:10.291432,"324549000
","-84.6819534302
"
2024-01-04 19:08:10.306423,"326777000
","-87.1428909302
"
2024-01-04 19:08:10.321878,"324529000
","-85.6818084717
"
2024-01-04 19:08:10.336838,"319225000
","-86.4199523926
"
2024-01-04 19:08:10.352795,"325588000
","-85.3505630493
"
2024-01-04 19:08:10.369750,"320873000
","-87.4295043945
"
2024-01-04 19:08:10.383746,"328655000
","-87.6372680664
"
2024-01-04 19:08:10.399704,"321952000
","-85.8717269897
"
2024-01-04 19:08:10.415669,"322492000
","-86.4010696411
"
2024-01-04 19:08:10.430150,"326238000
","-86.3365325928
"
2024-01-04 19:08:10.447109,"320853000
","-84.8200531006
"
2024-01-04 19:08:10.463063,"323970000
","-84.5464401245
"
2024-01-04 19:08:10.477047,"321962000
","-87.0226211548
"
2024-01-04 19:08:10.492982,"326358000
","-85.5063323975
"
2024-01-04 19:08:10.508949,"320224000
","-83.8303985596
"
2024-01-04 19:08:10.523436,"319804000
","-86.3054428101
"
2024-01-04 19:08:10.539393,"321083000
","-84.0859069824
"
2024-01-04 19:08:10.555350,"321682000
","-85.994934082
"
